ViralOTU	SRR8653090	SRR8653247	SRR8653248	SRR8652861	SRR8653245	SRR8653221	SRR8653084	SRR8653218	SRR8652914	SRR8652969
vOTU_1704	0	0	0	0	0	2	0	209	0	0
vOTU_9	0	0	1	8	0	0	10331	2	0	0
vOTU_599	0	0	0	548	0	32	7961	0	0	1167
vOTU_450	0	0	12	0	630	9	6	5	0	0
vOTU_1588	211	0	27	11	33	0	0	0	0	0
vOTU_463	1	250	0	0	0	13	1015	0	5325	0
vOTU_1706	0	0	0	6	0	135	0	0	0	23
vOTU_638	0	0	489	0	0	0	0	0	0	0
vOTU_1626	0	0	14	0	441	29	168	1	0	2
vOTU_1040	0	0	0	28	0	0	0	288	0	0
vOTU_501	0	0	0	0	57	0	1529	0	0	0
vOTU_1633	229	179	234	17	15	668	1341	3	764	2143
vOTU_1707	0	0	1	2	0	181	0	0	0	0
vOTU_1237	0	2	22	4	197	8	66	33	0	0
vOTU_1482	0	13	194	419	569	300	535	392	3	37
vOTU_999	2	1	0	0	0	1	238	0	0	18
vOTU_1173	0	4	2	0	0	44	363	219	0	0
vOTU_312	1	90	6	20	0	4	392	0	12372	41
vOTU_1145	0	0	0	249	0	90	0	0	0	2
vOTU_662	0	0	2	0	29	0	658	0	0	0
vOTU_1639	0	0	0	0	0	766	1	0	4	0
vOTU_802	724	0	0	42	3205	0	72	222	47	0
vOTU_1556	0	0	22	4	164	6	80	22	0	2
vOTU_1306	959	0	0	190	1482	0	71	183	77	3
vOTU_1393	9	324	15	99	1	82	6	0	5009	932
vOTU_1597	1	60	2	0	0	156	6	0	5	69
vOTU_467	649	1788	112	1039	216	295	678	16	1857	1001
vOTU_1506	0	0	2	0	0	0	0	0	232	0
vOTU_1023	0	2	33	5	240	22	99	41	0	0
vOTU_1533	0	1	0	294	7	7	104	49	0	25
vOTU_377	0	56	756	0	161	2252	53	7	0	4
vOTU_1093	8	893	39	183	9	36	1151	8	38914	4365
vOTU_532	0	5	92	1	201	22	3544	886	0	53
vOTU_1429	68	4	11	6	0	40	31	0	282	536
vOTU_943	4	28	0	128	0	0	0	0	205	0
vOTU_1372	0	0	2	0	39	42	296	0	0	0
vOTU_452	0	11	19	0	0	2402	29	0	0	0
vOTU_1487	0	8	75	2151	1690	214	6465	211	3	798
vOTU_43	4556	0	6	46	20	0	78	176	0	20
vOTU_635	2	0	17	0	0	0	841	0	13	10
vOTU_716	0	116	0	0	0	180	570	0	0	0
vOTU_139	65	9788	21	1	0	10	253	0	266	169
vOTU_76	15	0	36	1528	39	3145	0	0	6	3
vOTU_547	23	76	2	591	25	5	29	5	75	40
vOTU_904	0	0	47	10	10	30	621	14	0	2
vOTU_738	0	0	0	540	0	21	0	0	0	0
vOTU_915	0	0	0	0	0	495	0	0	0	0
vOTU_1204	0	27	246	0	0	51	2	15	0	0
vOTU_190	326	12438	19	515	17	96	422	45	3278	461
vOTU_1496	0	54	239	301	378	456	0	4535	4	771
vOTU_1089	0	0	293	0	0	0	0	2	0	0
vOTU_471	0	0	419	28	2634	3	4	4	13	3
vOTU_988	0	31	75	0	564	543	284	35	0	0
vOTU_1050	0	0	0	0	677	44	0	0	0	0
vOTU_241	0	0	169	14	0	2	6748	0	0	0
vOTU_1619	185	0	2	215	4193	2	0	34	49	0
vOTU_386	270	0	93	2354	591	9	0	0	3	3132
vOTU_1547	2	0	0	20	0	0	1	469	0	1
vOTU_1252	0	0	0	0	0	3	221	295	0	0
vOTU_909	8	0	0	280	0	42	0	0	0	37
vOTU_1160	0	0	250	0	0	0	0	0	0	0
vOTU_1135	18	0	31	3	0	13	60	0	1	1050
vOTU_1472	1273	10	3	15	0	4	25	94	275	69
vOTU_521	0	0	0	94	0	42	0	882	0	0
vOTU_920	69	17	0	0	0	2	631	2	222	54
vOTU_525	0	12	543	3	164	296	120	48	0	0
vOTU_1104	312	0	0	0	0	0	2	0	0	0
vOTU_170	0	11	1703	741	271	6	0	288	4	111
vOTU_925	0	0	0	0	27	0	483	0	0	0
vOTU_1178	0	9	0	1769	0	68	0	0	0	363
vOTU_1594	0	0	1	0	3	0	315	0	0	0
vOTU_493	0	0	177	19	194	48	1139	97	1	2
vOTU_368	0	0	0	0	2787	0	0	0	4	0
vOTU_790	0	10	0	0	0	486	27	0	0	0
vOTU_1125	0	0	0	0	0	111	32	0	301	0
vOTU_49	8	57	2387	787	1457	318	119	12701	3	578
vOTU_245	0	0	11	2	0	44	1550	0	79	4
vOTU_1300	0	0	0	0	0	0	509	0	0	0
vOTU_470	0	0	0	0	0	0	0	0	809	4
vOTU_222	40	8905	1	14	16	15	115	3	390	84
vOTU_1168	0	1	27	2	1914	0	958	3	5	0
vOTU_1558	0	21	1	0	405	12	259	58	2	0
vOTU_504	47	4	0	464	44	814	0	6	2	5346
vOTU_574	0	0	0	4	4214	0	0	0	2	0
vOTU_1242	48	102	3	3	0	8	95	0	620	96
vOTU_1182	0	0	0	0	0	14	0	6	0	284
vOTU_1457	0	0	0	0	419	0	167	0	2	0
vOTU_1674	38	0	0	711	0	1	0	0	0	22
vOTU_398	0	11	0	23	6	1	7	906	1	8
vOTU_877	0	75	196	2	72	792	223	10	0	0
vOTU_1295	0	5	375	0	0	124	0	0	0	0
vOTU_188	0	74	542	2945	1655	7	2	2	5	204
vOTU_721	0	0	0	5	0	9	0	461	0	0
vOTU_1346	0	0	0	0	279	0	0	0	2	488
vOTU_132	4	39	40	86	133	318	0	460	2	12321
vOTU_796	2	0	0	3	7	89	794	72	0	8
vOTU_1309	331	0	0	38	1	0	26	7	15	0
vOTU_1754	2	0	350	120	11	91	0	855	1	16
vOTU_615	0	43	1117	39	730	28	165	1233	4	21
vOTU_1613	0	0	0	15	0	0	207	0	0	0
vOTU_1189	0	19	7	12	0	346	196	13	0	2
vOTU_911	8	1	462	74	67	60	0	1	0	103
vOTU_62	22	6	361	63	44	17	0	8818	0	9
vOTU_320	0	0	0	0	0	0	1188	0	0	0
vOTU_1672	74	4	5	452	0	0	0	32	0	17
vOTU_771	10	0	1	0	0	7	23	0	7204	1218
vOTU_1344	977	2057	98	508	1727	374	2350	28	5427	1482
vOTU_282	0	274	0	0	0	319	1453	0	0	0
vOTU_717	500	698	221	51	96	1078	825	10	2188	153
vOTU_506	152	0	7	0	0	69	971	0	3	19
vOTU_1123	0	0	36	10	10	37	437	6	0	0
vOTU_242	15	5903	5	27	288	15	210	24	14	280
vOTU_1162	139	23	194	1932	49	773	0	2791	4	2724
vOTU_1507	0	0	0	0	0	389	0	0	0	0
vOTU_646	0	94	341	35	267	3513	63	79	0	40
vOTU_715	0	60	0	2	0	2678	48	0	0	0
vOTU_1495	2	2	170	67	100	2	293	22	0	57
vOTU_1258	0	34	531	1122	1122	1188	0	2819	8	2279
vOTU_481	0	0	0	0	2606	0	7	0	0	0
vOTU_972	0	0	0	0	0	0	0	742	0	0
vOTU_578	0	543	0	2	0	2	14	0	6	5
vOTU_673	0	0	0	0	0	0	588	0	0	0
vOTU_582	28	6	134	667	155	607	0	2506	7	579
vOTU_396	2	0	9	6	10	0	1677	2	0	0
vOTU_865	0	4	218	788	59	192	0	2725	3	2769
vOTU_1390	0	26	596	0	0	116	0	10	0	0
vOTU_918	7	0	739	94	3	42	0	2260	0	37
vOTU_456	0	38	337	3	190	302	954	81	2	7
vOTU_820	0	106	378	0	404	2033	488	572	0	0
vOTU_1215	0	0	0	4	0	254	0	0	0	0
vOTU_868	0	0	8	0	49	4	331	0	0	0
vOTU_372	0	62	56	7	157	3424	12	9	0	31
vOTU_1385	0	0	0	0	0	4	0	0	177	0
vOTU_1465	0	0	263	0	0	0	0	0	0	0
vOTU_244	0	1	1191	20	439	62	0	52	1	274
vOTU_658	0	0	4	10	0	191	74	0	590	0
vOTU_1341	220	2	0	287	3444	0	44	66	65	2
vOTU_961	0	1	6	1	529	28	21	1	0	0
vOTU_1339	0	2	255	0	0	0	0	0	0	0
vOTU_989	272	1354	31	32	78	52	797	3	1799	565
vOTU_421	5	6330	33	114	0	18	85	5	851	174
vOTU_1278	0	0	0	0	0	10	2	11	0	234
vOTU_623	0	0	672	0	2	0	0	214	0	0
vOTU_653	149	510	65	14	607	691	166	11	1802	3523
vOTU_737	0	0	0	0	3750	0	0	0	336	0
vOTU_1550	5	3	0	0	4	7	2	2	33	140
vOTU_1384	19	4	0	19	0	4	0	276	2	20
vOTU_1713	2	40	104	0	0	0	0	0	179	0
vOTU_1184	0	6	0	0	0	210	0	291	4	1083
vOTU_1729	211	38	9	101	52	15	15	0	9	12
vOTU_1159	2	0	0	59	2	168	0	0	4	276
vOTU_740	0	22	393	595	5	1258	112	471	0	332
vOTU_1732	0	4	1	0	0	1	0	2	22	152
vOTU_970	4	0	0	288	0	35	0	0	0	42
vOTU_755	1	2	352	11	12	3	55	39	8	16
vOTU_1480	69	12	0	844	197	452	0	0	2	1078
vOTU_1280	642	233	984	7817	2830	5683	66	5610	167	10788
vOTU_727	22	33	154	722	1211	18	0	127	3	293
vOTU_74	220	5022	53	73	406	346	668	15	478	3718
vOTU_191	0	69	655	3329	1636	990	0	1847	3	353
vOTU_150	10	38	1100	3275	2655	5356	1854	297	0	974
vOTU_152	0	8	71	0	2	2514	0	15	0	0
vOTU_352	0	0	0	0	0	0	0	0	0	2155
vOTU_1008	0	1	0	220	0	0	89	41	0	0
vOTU_1624	0	25	6	0	0	11	168	30	0	0
vOTU_682	0	73	0	0	0	1746	31	0	0	0
vOTU_1476	0	22	166	0	91	518	232	9	0	0
vOTU_131	0	0	0	0	7083	0	2	0	1	0
vOTU_1369	2	0	0	504	0	73	0	0	0	101
vOTU_591	0	0	0	0	91	0	1029	0	0	0
vOTU_1758	0	0	0	29	0	0	0	0	215	0
vOTU_1294	4	0	0	396	0	12	5422	0	0	638
vOTU_1211	0	158	0	0	0	0	1	0	0	0
vOTU_1345	315	0	0	0	0	0	0	0	0	0
vOTU_657	0	5	0	0	0	639	20	0	0	0
vOTU_165	86	586	32	4	1	38	124	7	9961	2062
vOTU_1399	0	4	0	7	0	9	51	0	347	13
vOTU_380	0	0	0	0	1774	162	0	0	0	2
vOTU_17	0	2	0	21891	0	0	0	1	2	7171
vOTU_1458	0	0	0	157	0	15	0	0	0	0
vOTU_571	0	0	0	0	37	0	992	0	0	0
vOTU_1543	0	0	0	0	8	0	148	4	0	0
vOTU_1083	0	0	247	0	3	0	0	0	0	0
vOTU_543	2132	189	23	61	6	81	234	15	2706	441
vOTU_685	416	1867	72	38	0	283	258	45	13799	2780
vOTU_643	0	0	0	0	1682	0	0	0	5	0
vOTU_1056	0	16	13	0	0	27	4	0	29	233
vOTU_770	0	8	282	372	572	337	2	4	2	2465
vOTU_1303	28	119	8	3	2	190	33	0	27	358
vOTU_806	0	0	313	0	0	0	0	1	0	1
vOTU_410	250	922	45	41	2	130	2363	2	1653	709
vOTU_862	291	1039	4134	4041	10231	14405	21676	6272	558	2249
vOTU_1028	0	0	32	7	229	6	71	56	0	2
vOTU_1636	0	0	1	0	0	163	0	0	0	0
vOTU_1489	0	0	4	7	0	243	0	5	0	0
vOTU_748	6	183	203	4	0	0	56	0	377	12
vOTU_160	0	10	227	49	364	3739	489	2038	0	2
vOTU_647	0	0	0	24	0	941	0	0	0	0
vOTU_122	164	0	0	4166	0	0	0	3343	6	7479
vOTU_1274	0	21	562	168	183	99	18	671	1	364
vOTU_277	6879	12442	347	217	25	1372	5539	58	20542	5739
vOTU_522	0	98	259	0	195	3681	589	10	0	0
vOTU_387	629	294	20	63	415	222	2180	3	1049	1801
vOTU_1659	0	6	0	0	0	140	10	0	0	86
vOTU_831	2612	1784	59	217	5	164	1003	13	5104	1783
vOTU_1519	2971	0	0	638	1	4	0	234	1	0
vOTU_212	0	9	31	0	4648	17	880	39	0	16
vOTU_485	0	11	244	2623	3099	338	0	989	4	438
vOTU_654	0	0	0	688	0	1083	0	0	0	0
vOTU_100	4	3	2	0	4	7	3	1	10	5020
vOTU_1723	0	0	0	136	0	4	0	0	0	0
vOTU_1102	1845	50	0	7	20	7	70	0	208	20
vOTU_1066	0	4	206	0	858	5	167	11	0	0
vOTU_114	240	72	316	6126	0	15	0	3036	1	20662
vOTU_1430	2	1	1	2	4	94	372	7	0	0
vOTU_743	0	0	0	1	0	7	0	609	0	0
vOTU_781	0	0	0	513	0	0	0	0	0	0
vOTU_1000	18	2	0	0	0	2	1289	1	2	85
vOTU_1312	4	7	0	21	1	0	0	0	246	0
vOTU_1001	0	0	0	242	0	16	0	0	0	0
vOTU_1403	1	0	0	0	0	153	0	0	0	19
vOTU_1381	0	9	3	1	0	2	0	0	0	1778
vOTU_1620	45	1167	32	39	2	23	319	14	2670	404
vOTU_402	15	16	0	25	0	127	91	2	989	16
vOTU_5	0	650	0	4	0	1036	0	0	2	18134
vOTU_322	0	0	0	2306	0	0	0	0	0	98
vOTU_340	6	146	0	474	0	940	0	0	0	0
vOTU_584	0	0	0	0	0	0	0	914	0	9
vOTU_1289	0	12	160	95	362	765	0	19	6	1620
vOTU_436	0	0	0	109	0	66	0	901	0	0
vOTU_661	50	130	14	7	1	18	95	0	115	2163
vOTU_1247	0	0	1	3	0	2	0	411	0	0
vOTU_1119	195	2646	22	19	1	33	349	12	1658	608
vOTU_1523	0	0	0	0	27	0	0	0	3	146
vOTU_1560	312	191	144	137	158	8	44	0	9	27
vOTU_1606	26	0	0	201	3315	0	1	10	0	0
vOTU_1731	139	0	0	139	1033	0	40	49	18	9
vOTU_1275	0	39	56	0	78	558	233	25	0	0
vOTU_395	0	11	0	0	0	1018	30	0	0	0
vOTU_786	118	5	20	5	1	0	0	36	0	9428
vOTU_931	4	0	0	8	0	2	6	0	357	0
vOTU_1041	0	2	3	32	1443	62	182	0	0	0
vOTU_366	0	0	917	0	0	0	0	0	0	0
vOTU_1319	0	0	0	0	173	0	2	0	0	0
vOTU_276	10	4	25	3816	7	6079	0	5697	0	4774
vOTU_736	210	471	17	67	97	149	287	7	2173	226
vOTU_1617	0	0	0	179	0	0	0	0	0	0
vOTU_1708	0	0	12	47	228	332	43	0	0	8
vOTU_1305	16	3199	26	39	41	230	486	5	914	362
vOTU_1717	9	22	256	707	616	473	1	1174	4	681
vOTU_679	0	0	0	0	8	13	2639	0	0	42
vOTU_97	158	269	37	47	153	210	611	38	1350	3257
vOTU_45	0	5	2	48	51	132	4299	9	0	26
vOTU_746	0	0	0	12	382	0	11	0	0	0
vOTU_125	0	351	191	565	2204	267	8863	330	3	429
vOTU_1394	443	164	183	180	217	28	62	0	30	80
vOTU_1719	0	6	63	34	27	36	3475	165	0	0
vOTU_495	3	10	5	0	0	0	1	2	34	1938
vOTU_751	0	0	0	356	0	26	0	0	0	0
vOTU_1383	48	0	0	228	0	0	0	8	1	0
vOTU_1314	89	0	0	33	832	0	27	173	33	5
vOTU_41	13	11946	498	23	1	9	680	0	544	844
vOTU_963	1536	86	6	322	4282	8	232	167	358	126
vOTU_505	7	127	2	584	0	27	11	0	70	15
vOTU_729	0	0	0	0	32	0	608	0	0	0
vOTU_1462	5	17	2	5	0	16	466	0	39	161
vOTU_1502	0	0	0	0	0	0	207	0	0	0
vOTU_642	0	0	458	0	0	0	0	0	0	0
vOTU_524	5	5	1	0	8	515	33	0	1	150
vOTU_346	0	0	15	0	0	88	0	2604	0	91
vOTU_1328	29	0	0	10	0	17	0	0	2	778
vOTU_1461	204	7	0	0	0	0	2	0	0	0
vOTU_162	0	0	0	0	5051	0	0	0	0	0
vOTU_1015	0	0	0	0	0	0	242	0	0	0
vOTU_684	35	1083	17	4	2	182	124	2	195	1069
vOTU_85	587	2090	69	268	418	560	1693	42	3052	5485
vOTU_1525	0	4	0	0	0	0	135	0	0	2
vOTU_326	7	4614	0	6	2	65	6	0	77	21
vOTU_376	1487	5361	46	181	1849	288	1433	83	24999	3755
vOTU_1359	0	1	5	0	19	26	542	36	0	33
vOTU_1681	0	0	0	0	0	155	0	0	1	85
vOTU_1183	13	67	3	1	0	301	19	2	88	120
vOTU_205	0	39	116	26	1502	1565	351	7	4	1
vOTU_374	49	181	0	4	21	2	19	0	2011	56
vOTU_548	241	1460	24	41	1	38	1290	8	2408	654
vOTU_413	465	2547	1640	77	17	92	981	25	16902	1462
vOTU_489	1415	4	0	5	67	0	0	13	1050	92
vOTU_879	917	358	493	436	516	100	100	2	71	195
vOTU_1355	0	0	0	0	1057	0	0	0	0	0
vOTU_1401	0	27	42	0	381	350	197	12	2	0
vOTU_233	0	121	0	0	8	1391	0	0	0	0
vOTU_1014	2	0	0	281	0	57	0	0	0	24
vOTU_945	110	2637	3	29	8	123	968	19	9954	2341
vOTU_544	7	77	308	594	794	1437	0	4194	1	739
vOTU_536	0	0	554	0	0	0	0	0	0	0
vOTU_1098	0	51	428	0	447	728	163	317	0	0
vOTU_753	0	24	0	1	0	1009	141	0	0	0
vOTU_234	0	4	233	22	23	3437	0	440	0	2942
vOTU_156	5	0	11	1	0	21	19	0	89	3006
vOTU_941	0	0	0	0	0	0	0	410	0	8
vOTU_725	0	0	0	0	955	135	0	0	0	0
vOTU_133	1	0	0	1583	108	4	7596	80	0	15
vOTU_1592	0	0	10	0	32	19	278	0	0	0
vOTU_867	0	130	760	18	2057	1517	1957	402	0	4
vOTU_950	0	0	0	266	0	0	0	0	0	0
vOTU_975	0	0	0	0	0	0	0	356	0	0
vOTU_926	0	0	374	0	0	0	0	0	0	0
vOTU_1696	0	0	0	125	0	4	0	0	0	0
vOTU_89	5341	10	4	6	0	0	43	0	0	131
vOTU_1324	18	9	0	2	0	0	5	0	314	17
vOTU_923	0	43	287	0	0	340	0	95	0	0
vOTU_349	1883	3011	90	60	29	103	687	8	4206	1009
vOTU_758	497	2577	62	6	2	138	1290	5	3733	1284
vOTU_763	0	0	0	530	0	0	0	0	0	0
vOTU_265	6	38	14	40	2	0	29	0	17103	66
vOTU_873	2	5	3	72	0	131	20	0	862	172
vOTU_1569	6	94	7	0	0	18	36	0	0	350
vOTU_266	0	0	30	71	5	160	1909	7	0	0
vOTU_59	3	0	172	137	9	758	15985	47	2	134
vOTU_109	0	2	0	3195	0	90	0	0	4	169
vOTU_16	3	104	54	134	424	96	18227	138	4	48
vOTU_91	4035	1	0	584	0	5	0	0	0	0
vOTU_745	8	0	0	64	374	57	0	1	14	2160
vOTU_701	0	0	8	0	562	0	0	0	2	0
vOTU_837	0	37	0	321	0	0	78	0	3	3
vOTU_1080	0	6	0	0	127	0	214	0	0	0
vOTU_1226	0	0	16	0	22	0	292	0	0	0
vOTU_997	0	0	139	0	0	257	0	0	0	0
vOTU_1169	604	275	33	126	35	143	919	40	8944	596
vOTU_1643	0	0	0	10	0	127	0	0	2	0
vOTU_1752	0	0	11	0	22	0	196	0	0	0
vOTU_690	0	6	47	0	0	849	0	115	0	0
vOTU_996	0	0	38	1	673	0	0	238	12	9
vOTU_327	0	0	0	0	0	7347	0	0	0	0
vOTU_1421	0	26	26	0	261	17	165	1	0	0
vOTU_271	6	5072	0	48	0	20	35	16	2569	548
vOTU_1499	0	52	0	0	0	260	220	0	0	0
vOTU_1642	0	0	0	0	170	1828	0	14	6	2129
vOTU_1113	0	0	0	268	0	0	0	0	0	0
vOTU_25	1	0	149	11	213	31	5570	11	0	6
vOTU_317	0	19	58	2	1973	323	159	96	3	8
vOTU_608	5	0	1	0	0	80	75	0	558	44
vOTU_1244	0	96	0	2	0	334	417	0	1	0
vOTU_979	6	0	0	292	0	35	0	0	0	33
vOTU_1174	0	0	0	2	0	10	32	0	259	0
vOTU_390	5	5	7	0	0	2	0	0	1047	9
vOTU_355	0	0	0	0	0	2	1523	0	0	0
vOTU_1058	109	24	67	1035	372	718	0	93	12	2132
vOTU_35	0	115	96	39	7106	2989	5763	307	16	101
vOTU_1387	0	0	22	0	0	195	0	0	0	0
vOTU_1141	0	84	649	51	24	64	35	2016	0	329
vOTU_1198	0	0	0	0	29	6	1437	523	0	188
vOTU_1623	0	0	0	170	0	0	0	0	0	0
vOTU_1627	0	0	0	0	0	0	0	0	212	0
vOTU_235	0	0	1214	0	0	0	0	2	0	0
vOTU_331	16	21	14	0	0	71	10	0	1055	459
vOTU_799	466	0	0	1	0	0	0	0	0	0
vOTU_561	284	2688	2	7	4	6	12	0	102	20
vOTU_1539	0	1	7	55	3	16	0	650	0	310
vOTU_1190	191	531	1	0	0	11	987	3	502	665
vOTU_1323	0	6	247	0	0	15	0	0	0	0
vOTU_1029	456	581	658	185	672	324	701	234	884	496
vOTU_1091	0	43	130	6	23	886	82	244	0	2
vOTU_1164	392	2	28	0	818	0	0	0	0	16
vOTU_487	4	42	4	34	7	957	1812	59	11	11
vOTU_754	2	0	1	4	1	6	795	1	0	0
vOTU_980	0	279	0	0	0	0	0	0	0	0
vOTU_1009	0	105	337	53	1045	2344	0	1136	19	2342
vOTU_1095	3	71	492	219	919	275	0	8151	19	2872
vOTU_1118	3	0	308	15	9	45	0	800	1	37
vOTU_130	0	6	12	2	2	7144	17	2	0	0
vOTU_1657	4	0	0	0	0	138	0	108	0	447
vOTU_34	0	0	0	0	0	0	0	8089	0	0
vOTU_58	0	0	28730	0	0	0	0	0	0	1
vOTU_1152	0	0	23	6	170	6	72	36	0	2
vOTU_1440	0	0	0	0	0	110	176	0	0	0
vOTU_1151	0	0	22	7	40	4	377	6	0	2
vOTU_1416	0	25	207	0	1	351	0	68	0	0
vOTU_1746	0	2	0	0	0	0	2	0	210	465
vOTU_798	1053	5803	160	353	3825	549	2359	74	11493	794
vOTU_900	0	0	0	0	3134	0	9	0	122	29
vOTU_1730	0	0	11	0	0	183	0	0	0	0
vOTU_64	0	0	7	0	0	4	4361	3	0	10
vOTU_1301	14	2171	2	13	0	107	25	13	64	24
vOTU_1741	0	26	36	0	549	412	205	9	2	0
vOTU_1628	10	12	1	1	0	182	28	0	33	93
vOTU_1444	60	0	0	23	0	0	0	244	0	0
vOTU_474	3	25	0	0	0	663	0	0	58	671
vOTU_1287	0	0	0	142	611	238	0	0	0	18
vOTU_569	0	0	501	0	0	0	0	0	0	0
vOTU_427	0	0	786	0	0	2	0	0	0	2
vOTU_722	1	25	331	44	672	1461	2	70	2	785
vOTU_866	2	4	8	0	2	12	20	464	0	0
vOTU_676	0	1	0	0	0	510	6	0	0	0
vOTU_919	0	47	312	628	392	962	0	4016	12	2522
vOTU_1740	0	0	0	0	0	239	11	0	4	0
vOTU_928	0	0	0	0	0	207	355	0	0	0
vOTU_937	0	0	0	0	1444	0	10	0	0	0
vOTU_1664	32	1157	53	0	0	42	22	0	176	125
vOTU_812	0	0	0	0	0	232	423	0	0	0
vOTU_971	10	0	0	210	0	2	0	0	0	0
vOTU_526	37	3592	187	4	0	147	3	42	79	1
vOTU_1710	2	0	125	0	0	0	0	0	0	0
vOTU_225	2	0	1	1	1	30	7338	3	0	0
vOTU_1760	0	0	0	0	340	51	0	0	0	0
vOTU_1630	0	0	0	0	0	208	0	0	0	0
vOTU_1545	0	0	0	0	8	0	160	0	0	0
vOTU_1725	0	0	194	0	0	0	0	0	0	0
vOTU_279	0	0	0	0	0	46151	0	0	1	0
vOTU_815	3	87	190	0	3	0	0	0	338	0
vOTU_1701	240	1160	1	35	6	13	562	8	4900	584
vOTU_699	0	0	0	1	0	708	0	0	0	0
vOTU_1587	0	0	0	0	0	122	0	0	0	235
vOTU_681	0	0	0	61	4006	0	50	1	11	1
vOTU_1500	0	4	252	402	490	1135	0	1726	0	1997
vOTU_1077	0	4	25	0	551	88	28	8	2	2
vOTU_1062	235	103	1090	109	492	24	147	2	21	42
vOTU_857	0	6	9	14	1113	62	0	101	17	3979
vOTU_1170	0	0	0	0	0	0	200	0	0	0
vOTU_541	0	0	0	724	2	0	0	0	0	0
vOTU_1471	4	124	0	23	0	2	673	0	32	45
vOTU_478	0	0	0	0	2290	0	0	0	0	0
vOTU_1555	0	11	241	636	685	0	0	0	4	501
vOTU_779	0	0	0	0	0	222	427	0	0	0
vOTU_1097	0	5	0	261	0	26	0	0	0	3
vOTU_1282	0	0	0	0	0	106	280	0	0	0
vOTU_814	0	0	0	0	502	0	960	4	0	0
vOTU_821	12	2085	0	4	78	36	8	8	17	393
vOTU_1257	9	0	0	0	0	16	0	4099	0	1136
vOTU_692	0	33	42	295	634	1424	263	68	2	110
vOTU_273	0	157	227	0	2496	2514	1203	128	2	1
vOTU_1245	0	0	235	0	0	0	0	0	0	0
vOTU_305	0	1	132	0	7	88	1754	77	0	2
vOTU_674	0	0	0	0	0	238	536	0	0	0
vOTU_1498	0	8	9	0	0	0	244	0	4	1
vOTU_677	0	0	0	0	0	0	0	665	0	10
vOTU_1517	1	19	0	416	273	179	0	0	0	39
vOTU_714	279	1538	1	43	0	114	2	0	3317	2083
vOTU_1263	0	0	0	206	588	0	30	19	18	4
vOTU_1290	0	5	0	0	447	8	460	0	0	0
vOTU_1361	7	14	182	1098	188	527	0	1213	7	1528
vOTU_196	2756	477	28	114	2822	79	1190	440	1565	553
vOTU_1460	42	223	8	189	34	13	63	1	235	76
vOTU_537	2	0	0	231	2	0	0	3653	0	0
vOTU_202	2	148	756	1873	1845	4748	2	1747	29	205
vOTU_12	0	1	0	0	3	1	6746	159	3	6
